images,labels
IMD024.bmp,0
IMD036.bmp,0
IMD078.bmp,0
IMD013.bmp,0
IMD280.bmp,0
IMD152.bmp,0
IMD210.bmp,0
IMD278.bmp,0
IMD047.bmp,0
IMD048.bmp,0
IMD434.bmp,0
IMD150.bmp,0
IMD010.bmp,0
IMD393.bmp,0
IMD156.bmp,0
IMD139.bmp,0
IMD041.bmp,0
IMD169.bmp,0
IMD023.bmp,0
IMD347.bmp,0
IMD304.bmp,0
IMD032.bmp,0
IMD146.bmp,0
IMD044.bmp,0
IMD144.bmp,0
IMD305.bmp,0
IMD370.bmp,0
IMD043.bmp,0
IMD021.bmp,0
IMD003.bmp,0
IMD396.bmp,0
IMD399.bmp,0
IMD160.bmp,0
IMD125.bmp,0
IMD135.bmp,0
IMD006.bmp,0
IMD196.bmp,0
IMD017.bmp,0
IMD170.bmp,0
IMD166.bmp,0
IMD050.bmp,0
IMD162.bmp,0
IMD140.bmp,0
IMD394.bmp,0
IMD112.bmp,0
IMD365.bmp,0
IMD030.bmp,0
IMD389.bmp,0
IMD022.bmp,0
IMD033.bmp,0
IMD203.bmp,0
IMD138.bmp,0
IMD016.bmp,0
IMD154.bmp,0
IMD153.bmp,0
IMD177.bmp,0
IMD057.bmp,0
IMD134.bmp,0
IMD108.bmp,0
IMD142.bmp,0
IMD367.bmp,0
IMD400.bmp,0
IMD312.bmp,0
IMD385.bmp,0
IMD328.bmp,0
IMD206.bmp,0
IMD038.bmp,0
IMD042.bmp,0
IMD436.bmp,0
IMD092.bmp,0
IMD397.bmp,0
IMD040.bmp,0
IMD147.bmp,0
IMD159.bmp,0
IMD437.bmp,0
IMD430.bmp,0
IMD402.bmp,0
IMD126.bmp,0
IMD039.bmp,0
IMD164.bmp,0
IMD382.bmp,0
IMD380.bmp,0
IMD045.bmp,0
IMD243.bmp,0
IMD037.bmp,0
IMD182.bmp,0
IMD427.bmp,0
IMD279.bmp,0
IMD019.bmp,0
IMD118.bmp,0
IMD381.bmp,0
IMD374.bmp,0
IMD107.bmp,0
IMD254.bmp,0
IMD015.bmp,0
IMD143.bmp,0
IMD306.bmp,0
IMD020.bmp,0
IMD208.bmp,0
IMD369.bmp,0
IMD049.bmp,0
IMD075.bmp,0
IMD364.bmp,0
IMD200.bmp,0
IMD002.bmp,0
IMD251.bmp,0
IMD035.bmp,0
IMD155.bmp,0
IMD376.bmp,0
IMD386.bmp,0
IMD379.bmp,0
IMD384.bmp,0
IMD432.bmp,0
IMD433.bmp,0
IMD199.bmp,0
IMD371.bmp,0
IMD176.bmp,0
IMD390.bmp,0
IMD256.bmp,0
IMD103.bmp,0
IMD240.bmp,1
IMD085.bmp,1
IMD091.bmp,1
IMD168.bmp,1
IMD065.bmp,1
IMD423.bmp,1
IMD058.bmp,1
IMD405.bmp,1
IMD408.bmp,1
IMD284.bmp,1
IMD404.bmp,1
IMD064.bmp,1
IMD429.bmp,1
IMD219.bmp,1
IMD242.bmp,1
IMD063.bmp,1
IMD419.bmp,1
IMD417.bmp,1
IMD411.bmp,1
IMD406.bmp,1
IMD090.bmp,1
IMD425.bmp,1
IMD420.bmp,1
IMD348.bmp,1
IMD403.bmp,1
IMD211.bmp,1
IMD426.bmp,1
IMD407.bmp,1
IMD349.bmp,1
IMD418.bmp,1
