image_path,labels
HAM10000_images_part_1/ISIC_0024698.jpg,0
HAM10000_images_part_1/ISIC_0024693.jpg,0
HAM10000_images_part_1/ISIC_0025964.jpg,1
HAM10000_images_part_2/ISIC_0030623.jpg,1
HAM10000_images_part_2/ISIC_0031023.jpg,1
HAM10000_images_part_1/ISIC_0028086.jpg,1
HAM10000_images_part_2/ISIC_0031177.jpg,1
HAM10000_images_part_1/ISIC_0026993.jpg,1
HAM10000_images_part_1/ISIC_0026120.jpg,1
HAM10000_images_part_1/ISIC_0028412.jpg,1
HAM10000_images_part_1/ISIC_0026531.jpg,1
HAM10000_images_part_2/ISIC_0032396.jpg,1
HAM10000_images_part_2/ISIC_0030443.jpg,1
HAM10000_images_part_2/ISIC_0031499.jpg,1
HAM10000_images_part_1/ISIC_0025451.jpg,1
HAM10000_images_part_2/ISIC_0032248.jpg,1
HAM10000_images_part_1/ISIC_0028445.jpg,1
HAM10000_images_part_1/ISIC_0027076.jpg,1
HAM10000_images_part_2/ISIC_0029512.jpg,1
HAM10000_images_part_1/ISIC_0027872.jpg,1
HAM10000_images_part_1/ISIC_0029028.jpg,1
HAM10000_images_part_1/ISIC_0027125.jpg,1
HAM10000_images_part_2/ISIC_0029575.jpg,1
HAM10000_images_part_1/ISIC_0028361.jpg,1
HAM10000_images_part_1/ISIC_0029081.jpg,1
HAM10000_images_part_1/ISIC_0025744.jpg,1
HAM10000_images_part_2/ISIC_0030119.jpg,1
HAM10000_images_part_1/ISIC_0028215.jpg,1
HAM10000_images_part_1/ISIC_0025303.jpg,1
HAM10000_images_part_2/ISIC_0030129.jpg,1
HAM10000_images_part_2/ISIC_0032214.jpg,1
HAM10000_images_part_1/ISIC_0029281.jpg,1
HAM10000_images_part_1/ISIC_0024367.jpg,1
HAM10000_images_part_2/ISIC_0030281.jpg,1
HAM10000_images_part_1/ISIC_0024481.jpg,1
HAM10000_images_part_1/ISIC_0026115.jpg,1
HAM10000_images_part_1/ISIC_0026281.jpg,1
HAM10000_images_part_2/ISIC_0032079.jpg,1
HAM10000_images_part_1/ISIC_0027043.jpg,1
