image_path,labels,split
HAM10000_images_part_1/ISIC_0024359.jpg,0,train
HAM10000_images_part_1/ISIC_0028552.jpg,0,train
HAM10000_images_part_1/ISIC_0025409.jpg,1,train
HAM10000_images_part_1/ISIC_0027751.jpg,0,train
HAM10000_images_part_1/ISIC_0028422.jpg,0,validation
HAM10000_images_part_1/ISIC_0027639.jpg,0,validation
HAM10000_images_part_1/ISIC_0028285.jpg,1,train
HAM10000_images_part_1/ISIC_0024730.jpg,0,validation
HAM10000_images_part_1/ISIC_0028963.jpg,0,train
HAM10000_images_part_1/ISIC_0027101.jpg,1,train
HAM10000_images_part_1/ISIC_0025796.jpg,0,train
HAM10000_images_part_2/ISIC_0030819.jpg,0,train
HAM10000_images_part_1/ISIC_0024484.jpg,0,train
HAM10000_images_part_2/ISIC_0031319.jpg,0,validation
HAM10000_images_part_2/ISIC_0032569.jpg,1,train
HAM10000_images_part_2/ISIC_0030898.jpg,1,train
HAM10000_images_part_1/ISIC_0025512.jpg,1,validation
HAM10000_images_part_1/ISIC_0025524.jpg,1,train
HAM10000_images_part_1/ISIC_0025844.jpg,0,test
HAM10000_images_part_2/ISIC_0031565.jpg,1,test
HAM10000_images_part_2/ISIC_0033173.jpg,0,train
HAM10000_images_part_2/ISIC_0031764.jpg,0,train
HAM10000_images_part_2/ISIC_0031722.jpg,0,train
HAM10000_images_part_2/ISIC_0032313.jpg,1,validation
HAM10000_images_part_2/ISIC_0032578.jpg,0,train
HAM10000_images_part_2/ISIC_0034106.jpg,1,train
HAM10000_images_part_2/ISIC_0031173.jpg,0,validation
HAM10000_images_part_1/ISIC_0026506.jpg,1,train
HAM10000_images_part_2/ISIC_0033162.jpg,0,test
HAM10000_images_part_2/ISIC_0033039.jpg,0,train
HAM10000_images_part_1/ISIC_0026035.jpg,0,train
HAM10000_images_part_2/ISIC_0034180.jpg,1,train
HAM10000_images_part_2/ISIC_0032927.jpg,1,train
HAM10000_images_part_1/ISIC_0029194.jpg,0,train
HAM10000_images_part_2/ISIC_0030423.jpg,1,validation
HAM10000_images_part_2/ISIC_0033566.jpg,0,test
HAM10000_images_part_1/ISIC_0028898.jpg,1,test
HAM10000_images_part_1/ISIC_0028760.jpg,1,train
HAM10000_images_part_2/ISIC_0031359.jpg,0,train
HAM10000_images_part_1/ISIC_0027436.jpg,1,validation
HAM10000_images_part_1/ISIC_0026224.jpg,0,test
HAM10000_images_part_1/ISIC_0027055.jpg,0,train
HAM10000_images_part_2/ISIC_0033721.jpg,0,train
HAM10000_images_part_1/ISIC_0028109.jpg,1,test
HAM10000_images_part_1/ISIC_0025463.jpg,0,train
HAM10000_images_part_1/ISIC_0028074.jpg,0,train
HAM10000_images_part_1/ISIC_0025472.jpg,1,train
HAM10000_images_part_1/ISIC_0024647.jpg,1,train
HAM10000_images_part_2/ISIC_0032526.jpg,1,train
HAM10000_images_part_2/ISIC_0030624.jpg,0,train
HAM10000_images_part_1/ISIC_0026854.jpg,0,validation
HAM10000_images_part_1/ISIC_0029116.jpg,0,train
HAM10000_images_part_2/ISIC_0033348.jpg,0,train
HAM10000_images_part_2/ISIC_0032424.jpg,1,train
HAM10000_images_part_2/ISIC_0031367.jpg,0,test
HAM10000_images_part_2/ISIC_0030653.jpg,1,train
HAM10000_images_part_2/ISIC_0032237.jpg,0,train
HAM10000_images_part_1/ISIC_0025039.jpg,0,train
HAM10000_images_part_1/ISIC_0025291.jpg,0,train
HAM10000_images_part_1/ISIC_0028081.jpg,0,train
HAM10000_images_part_2/ISIC_0032925.jpg,1,validation
HAM10000_images_part_1/ISIC_0025248.jpg,1,test
HAM10000_images_part_1/ISIC_0028898.jpg,1,test
HAM10000_images_part_1/ISIC_0026986.jpg,0,test
HAM10000_images_part_2/ISIC_0030113.jpg,0,validation
HAM10000_images_part_1/ISIC_0028954.jpg,0,train
HAM10000_images_part_1/ISIC_0026911.jpg,0,train
HAM10000_images_part_1/ISIC_0026268.jpg,1,validation
HAM10000_images_part_1/ISIC_0028326.jpg,1,train
HAM10000_images_part_2/ISIC_0031830.jpg,0,train
HAM10000_images_part_2/ISIC_0029571.jpg,1,test
HAM10000_images_part_2/ISIC_0033796.jpg,0,test
HAM10000_images_part_2/ISIC_0031718.jpg,1,train
HAM10000_images_part_1/ISIC_0024940.jpg,1,train
HAM10000_images_part_2/ISIC_0032090.jpg,0,validation
HAM10000_images_part_2/ISIC_0031155.jpg,0,validation
HAM10000_images_part_1/ISIC_0026690.jpg,1,test
HAM10000_images_part_1/ISIC_0025155.jpg,1,validation
HAM10000_images_part_1/ISIC_0027261.jpg,1,train
HAM10000_images_part_1/ISIC_0028259.jpg,0,test
HAM10000_images_part_1/ISIC_0026002.jpg,0,validation
HAM10000_images_part_2/ISIC_0029343.jpg,1,train
HAM10000_images_part_2/ISIC_0030376.jpg,0,test
HAM10000_images_part_2/ISIC_0033699.jpg,0,train
HAM10000_images_part_2/ISIC_0032441.jpg,1,train
HAM10000_images_part_2/ISIC_0033221.jpg,0,test
HAM10000_images_part_1/ISIC_0025451.jpg,1,train
HAM10000_images_part_2/ISIC_0033559.jpg,1,validation
HAM10000_images_part_1/ISIC_0028844.jpg,0,train
